"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"411","journalArticle",2021,"Chandler, Morgan; Johnson, Brittany; Khisamutdinov, Emil; Dobrovolskaia, Marina A.; Sztuba-Solinska, Joanna; Salem, Aliasger K.; Breyne, Koen; Chammas, Roger; Walter, Nils G.; Contreras, Lydia M.; Guo, Peixuan; Afonin, Kirill A.","the international society of rna nanotechnology and nanomedicine (isrnn): the present and future of the burgeoning field","acs nano","10.1021/acsnano.0c10240"
"412","journalArticle",2021,"Yan, Litao; Liu, Gejun; Wu, Xing","the umbilical cord mesenchymal stem cell-derived exosomal lncrna h19 improves osteochondral activity through mir-29b-3p/foxo3 axis","clinical and translational medicine","10.1002/ctm2.255"
"413","journalArticle",2021,"Liu, Wei; Yu, Muyu; Chen, Feng; Wang, Longqing; Ye, Cheng; Chen, Qing; Zhu, Qi; Xie, Dong; Shao, Mingzhe; Yang, Lili","a novel delivery nanobiotechnology: engineered mir-181b exosomes improved osteointegration by regulating macrophage polarization","journal of nanobiotechnology","10.1186/s12951-021-01015-y"
"414","journalArticle",2021,"Xu, Yan; Lin, Ze; He, Lei; Qu, Yanzhen; Ouyang, Liu; Han, Yu; Xu, Chao; Duan, Deyu","platelet-rich plasma-derived exosomal usp15 promotes cutaneous wound healing via deubiquitinating eif4a1","oxidative medicine and cellular longevity","10.1155/2021/9674809"
"415","journalArticle",2023,"Rahmati, Shima; Khazaei, Mozafar; Nadi, Akram; Alizadeh, Morteza; Rezakhani, Leila","exosome-loaded scaffolds for regenerative medicine in hard tissues","tissue & cell","10.1016/j.tice.2023.102102"
"416","journalArticle",2021,"Yue, Xiaotong; Liu, Lingying; Wu, Yushou; Liu, Xiangyu; Li, Shaozeng; Zhang, Zihao; Han, Shaofang; Wang, Xiaoteng; Chang, Yang; Bai, Hailiang; Chai, Jiake; Hu, Sen; Wang, Hongyu","preparation and evaluation of chitosan-polyvinyl alcohol/polyhexamethylene guanidine hydrochloride antibacterial dressing to accelerate wound healing for infectious skin repair","annals of translational medicine","10.21037/atm-21-509"
"417","journalArticle",2019,"Cao, Yi-meng; Liu, Meng-yu; Xue, Zhuo-wei; Qiu, Yu; Li, Jie; Wang, Yang; Wu, Qing-kai","surface-structured bacterial cellulose loaded with huscs accelerate skin wound healing by promoting angiogenesis in rats","biochemical and biophysical research communications","10.1016/j.bbrc.2019.06.161"
"426","journalArticle",2021,"Liu, Li; Guo, Shujuan; Shi, Weiwei; Liu, Qian; Huo, Fangjun; Wu, Yafei; Tian, Weidong","bone marrow mesenchymal stem cell-derived small extracellular vesicles promote periodontal regeneration","tissue engineering. part a","10.1089/ten.TEA.2020.0141"
"472","journalArticle",2023,"Shi, Jiajun; Teo, Kristeen Ye Wen; Zhang, Shipin; Lai, Ruenn Chai; Rosa, Vinicius; Tong, Huei Jinn; Duggal, Mandeep S.; Lim, Sai Kiang; Toh, Wei Seong","mesenchymal stromal cell exosomes enhance dental pulp cell functions and promote pulp-dentin regeneration","biomaterials and biosystems","10.1016/j.bbiosy.2023.100078"
"512","journalArticle",2023,"Jenner, Florien; Wagner, Andrea; Gerner, Iris; Ludewig, Eberhard; Trujanovic, Robert; Rohde, Eva; von Rechenberg, Brigitte; Gimona, Mario; Traweger, Andreas","evaluation of the potential of umbilical cord mesenchymal stromal cell-derived small extracellular vesicles to improve rotator cuff healing: a pilot ovine study","the american journal of sports medicine","10.1177/03635465221145958"
"517","journalArticle",2019,"Michigami, Toshimi","skeletal mineralization: mechanisms and diseases","annals of pediatric endocrinology & metabolism","10.6065/apem.2019.24.4.213"
"528","journalArticle",2023,"Wang, Yujie; Zou, Jielin; Cai, Mingxuan; Wang, Yifan; Mao, Jing; Shi, Xin","applicatoin of chitosan-based hydrogel in oral tissue engineering","zhong nan da xue xue bao. yi xue ban = journal of central south university. medical sciences","10.11817/j.issn.1672-7347.2023.220370"
"541","journalArticle",2024,"Gui, Linyuan; Ye, Qingyuan; Yu, Lu; Dou, Geng; Zhou, Yang; Liu, Yang; Zhang, Yanqi; Yang, Xiaoshan; Jin, Fang; Liu, Shiyu; Jin, Yan; Ren, Lili","bone-targeting peptide and rnf146 modified apoptotic extracellular vesicles alleviate osteoporosis","international journal of nanomedicine","10.2147/IJN.S433511"
"543","journalArticle",2020,"Qayoom, Irfan; Teotia, Arun Kumar; Kumar, Ashok","nanohydroxyapatite based ceramic carrier promotes bone formation in a femoral neck canal defect in osteoporotic rats","biomacromolecules","10.1021/acs.biomac.9b01327"
"547","journalArticle",2021,"Na, Woojin; Kang, Min-Kyung; Park, Sin-Hye; Kim, Dong Yeon; Oh, Su Yeon; Oh, Moon-Sik; Park, Sohyun; Kang, Ii-Jun; Kang, Young-Hee","aesculetin accelerates osteoblast differentiation and matrix-vesicle-mediated mineralization","international journal of molecular sciences","10.3390/ijms222212391"
"573","journalArticle",2024,"Xu, Tengjing; Yu, Xinning; Xu, Kaiwang; Lin, Yunting; Wang, Jiajie; Pan, Zongyou; Fang, Jinghua; Wang, Siheng; Zhou, Zhuxing; Song, Hongyun; Zhu, Sunan; Dai, Xuesong","comparison of the ability of exosomes and ectosomes derived from adipose-derived stromal cells to promote cartilage regeneration in a rat osteochondral defect model","stem cell research & therapy","10.1186/s13287-024-03632-4"
"578","journalArticle",2023,"Zheng, Yexin; Lu, Hui; Mu, Qing; Yi, Ping; Lin, Ling; Li, Pei; Yu, Dongsheng; Zhao, Wei","effects of sev derived from shed and dpsc on the proliferation, migration and osteogenesis of pdlsc","regenerative therapy","10.1016/j.reth.2023.09.009"
"586","journalArticle",2023,"Liu, Yi; Zhong, Yuan; Zheng, Bowen; Liu, Yi","extracellular vesicles derived from m1 macrophages enhance rat midpalatal suture expansion by promoting initial bone turnover and inflammation","progress in orthodontics","10.1186/s40510-023-00477-0"
"606","journalArticle",2023,"Noël, Danièle; Scherberich, Arnaud","editorial: biology and clinical applications of adipose-derived cells for skeletal regeneration","frontiers in bioengineering and biotechnology","10.3389/fbioe.2023.1221444"
"618","journalArticle",2016,"Qin, Yunhao; Wang, Lian; Gao, Zhengliang; Chen, Genyin; Zhang, Changqing","bone marrow stromal/stem cell-derived extracellular vesicles regulate osteoblast activity and differentiation in vitro and promote bone regeneration in vivo","scientific reports","10.1038/srep21961"
"633","journalArticle",2001,"Boabaid, F.; Cerri, P. S.; Katchburian, E.","apoptotic bone cells may be engulfed by osteoclasts during alveolar bone resorption in young rats","tissue & cell","10.1054/tice.2001.0179"
"643","journalArticle",2024,"Xie, Xudong; Cheng, Peng; Hu, Liangcong; Zhou, Wu; Zhang, Detai; Knoedler, Samuel; Liu, Guodong; Xiong, Yuan; Xue, Hang; Hu, Yiqiang; Kern, Barbara; Obed, Doha; Panayi, Adriana C.; Chen, Lang; Yan, Chenchen; Lin, Ze; Dai, Guandong; Mi, Bobin; Zhang, Yingze; Liu, Guohui","bone-targeting engineered small extracellular vesicles carrying anti-mir-6359-cgggagc prevent valproic acid-induced bone loss","signal transduction and targeted therapy","10.1038/s41392-023-01726-8"
"684","journalArticle",2020,"Ran, Ning; Gao, Xianjun; Dong, Xue; Li, Junjin; Lin, Caorui; Geng, Mengyuan; Yin, HaiFang","effects of exosome-mediated delivery of myostatin propeptide on functional recovery of mdx mice","biomaterials","10.1016/j.biomaterials.2020.119826"
"694","journalArticle",2024,"Ming, Leiguo; Qu, Yanling; Wang, Zhe; Dong, Lingjuan; Li, Yinghui; Liu, Fen; Wang, Qingxia; Zhang, Dan; Li, Zhifeng; Zhou, Zhifei; Shang, Fengqing; Xie, Xiaodong","small extracellular vesicles laden oxygen-releasing thermosensitive hydrogel for enhanced antibacterial therapy against anaerobe-induced periodontitis alveolar bone defect","acs biomaterials science & engineering","10.1021/acsbiomaterials.3c00493"
"708","journalArticle",2021,"Gupta, Ashim; Maffulli, Nicola; Rodriguez, Hugo C.; Lee, Cassidy E.; Levy, Howard J.; El-Amin, Saadiq F.","umbilical cord-derived wharton's jelly for treatment of knee osteoarthritis: study protocol for a non-randomized, open-label, multi-center trial","journal of orthopaedic surgery and research","10.1186/s13018-021-02300-0"
"741","journalArticle",2015,"Deng, Lili; Wang, Yaping; Peng, Ying; Wu, Yu; Ding, Yuedi; Jiang, Yuhai; Shen, Zhenhai; Fu, Qiang","osteoblast-derived microvesicles: a novel mechanism for communication between osteoblasts and osteoclasts","bone","10.1016/j.bone.2015.05.022"
"754","journalArticle",2023,"Heitzer, Marius; Zhao, Qun; Greven, Johannes; Winnand, Philipp; Zhang, Xing; Bläsius, Felix Marius; Buhl, Eva Miriam; Wolf, Michael; Neuss, Sabine; Hildebrand, Frank; Hölzle, Frank; Modabber, Ali","evaluation of in vitro biocompatibility of human pulp stem cells with allogeneic, alloplastic, and xenogeneic grafts under the influence of extracellular vesicles","scientific reports","10.1038/s41598-023-39410-0"
"755","journalArticle",2021,"Zhang, Gensheng; Liu, Ruiyu; Dang, Xiaoqian; Liu, Jichao; Jiao, Haibin","[experimental study on improvement of osteonecrosis of femoral head with exosomes derived from mir-27a-overexpressing vascular endothelial cells]","zhongguo xiu fu chong jian wai ke za zhi = zhongguo xiufu chongjian waike zazhi = chinese journal of reparative and reconstructive surgery","10.7507/1002-1892.202011026"
"758","journalArticle",2019,"Rody, Wellington J.; Chamberlain, Casey A.; Emory-Carter, Alyssa K.; McHugh, Kevin P.; Wallet, Shannon M.; Spicer, Victor; Krokhin, Oleg; Holliday, L. Shannon","the proteome of extracellular vesicles released by clastic cells differs based on their substrate","plos one","10.1371/journal.pone.0219602"
"769","journalArticle",2020,"Sanchez, M. Alejandra; Felice, Betiana; Sappia, Luciano D.; Lima Moura, Silio; Martí, Mercè; Pividori, M. Isabel","osteoblastic exosomes. a non-destructive quantitative approach of alkaline phosphatase to assess osteoconductive nanomaterials","materials science & engineering. c, materials for biological applications","10.1016/j.msec.2020.110931"
"774","journalArticle",2023,"Greben, A. I.; Eremin, P. S.; Kostromina, E. Yu; Markov, P. A.; Greben, T. N.; Gilmutdinova, I. R.; Konchugova, T. V.","[low level laser therapy: molecular mechanisms of anti-inflammatory and regenerative effects]","voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury","10.17116/kurort202310002161"
"775","journalArticle",2024,"Xie, Liangkun; Ren, Xuefeng; Yang, Zijie; Zhou, Ting; Zhang, Mingzhu; An, Wei; Guan, Zheng","exosomal circ_0000722 derived from periodontal ligament stem cells undergoing osteogenic differentiation promotes osteoclastogenesis","international immunopharmacology","10.1016/j.intimp.2024.111520"
"777","journalArticle",2022,"Zhao, You-Shun; Lin, Ping; Tu, Ying-Chun; An, Tao; Wu, Yu-Ping; Li, Xiao-Fei","[application of runx2 gene over expression vector modified exosomes from bmsc combined with calcium carbonate scaffold system in bone defect]","zhongguo gu shang = china journal of orthopaedics and traumatology","10.12200/j.issn.1003-0034.2022.04.016"
