"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"339","journalArticle",2019,"Chen, Guanghua; Li, Peng; Liu, Zhijun; Zeng, Rong; Ma, Xiaotang; Chen, Yanfang; Xu, Haijia; Li, Zhanghua; Lin, Hao","enrichment of mir-126 enhances the effects of endothelial progenitor cell-derived microvesicles on modulating mc3t3-e1 cell function via erk1/2-bcl-2 signalling pathway","prion","10.1080/19336896.2019.1607464"
"340","journalArticle",2023,"Park, Yu-Seong; Kim, Hyun-Woo; Hwang, Jin-Hyeon; Eom, Jung-Young; Kim, Dong-Ha; Park, Jinho; Tae, Hyun-Jin; Lee, Seunghoon; Yoo, Jae-Gyu; Kim, Jee-In; Lim, Jae-Hwan; Kwun, In-Sook; Baek, Moon-Chang; Cho, Young-Eun; Kim, Do-Kyun","plum-derived exosome-like nanovesicles induce differentiation of osteoblasts and reduction of osteoclast activation","nutrients","10.3390/nu15092107"
"341","journalArticle",2018,"Zhao, Mingyan; Li, Peng; Xu, Haijia; Pan, Qunwen; Zeng, Rong; Ma, Xiaotang; Li, Zhanghua; Lin, Hao","dexamethasone-activated mscs release mvs for stimulating osteogenic response","stem cells international","10.1155/2018/7231739"
"342","journalArticle",2021,"Wang, Qing; Shen, Xiaofeng; Chen, Yong; Chen, Ji; Li, Yuwei","osteoblasts-derived exosomes regulate osteoclast differentiation through mir-503-3p/hpse axis","acta histochemica","10.1016/j.acthis.2021.151790"
"343","journalArticle",2022,"Lin, Chen; Yang, Yingying; Wang, Yingxue; Jing, Heng; Bai, Xinyi; Hong, Zheng; Zhang, Chunxiang; Gao, Hui; Zhang, Linkun","periodontal ligament fibroblasts-derived exosomes induced by pge<sub>2</sub> inhibit human periodontal ligament stem cells osteogenic differentiation via activating mir-34c-5p/satb2/erk","experimental cell research","10.1016/j.yexcr.2022.113318"
"344","journalArticle",2022,"Liu, Yuan; Zeng, Yi; Si, Hai-Bo; Tang, Li; Xie, Hui-Qi; Shen, Bin","exosomes derived from human urine-derived stem cells overexpressing mir-140-5p alleviate knee osteoarthritis through downregulation of vegfa in a rat model","american journal of sports medicine","10.1177/03635465221073991"
"345","journalArticle",2021,"Dong, Ming; Wu, Saixuan; Xu, Huijun; Yu, Xinxin; Wang, Lina; Bai, Hua; Niu, Weidong","fbs-derived exosomes as a natural nano-scale carrier for icariin promote osteoblast proliferation","frontiers in bioengineering and biotechnology","10.3389/fbioe.2021.615920"
"346","journalArticle",2020,"Li, Jinsong; Ding, Zhiyu; Li, Yuezhan; Wang, Weiguo; Wang, Jianlong; Yu, Haiyang; Liu, Ansong; Miao, Jinglei; Chen, Shijie; Wu, Tianding; Cao, Yong","bmscs-derived exosomes ameliorate pain via abrogation of aberrant nerve invasion in subchondral bone in lumbar facet joint osteoarthritis","journal of orthopaedic research","10.1002/jor.24497"
"347","journalArticle",2017,"Sato, Mari; Suzuki, Tomohide; Kawano, Mitsuoki; Tamura, Masato","circulating osteocyte-derived exosomes contain mirnas which are enriched in exosomes from mlo-y4 cells","biomedical reports","10.3892/br.2016.824"
"348","journalArticle",2020,"Jiang, Shengjun; Xu, Liqin","exosomes from gingival mesenchymal stem cells enhance migration and osteogenic differentiation of pre-osteoblasts","pharmazie","10.1691/ph.2020.0652"
"349","journalArticle",2022,"Wang, Rui; Xu, Bin","tgf?1-modified msc-derived exosome attenuates osteoarthritis by inhibiting pdgf-bb secretion and h-type vessel activity in the subchondral bone","acta histochemica","10.1016/j.acthis.2022.151933"
"350","journalArticle",2022,"Zhang, Tao; Jiang, Weidong; Liao, Fengchun; Zhu, Peiqi; Guo, Lina; Zhao, Zhenchen; Liu, Yan; Huang, Xuanping; Zhou, Nuo","identification of the key exosomal lncrnas/mrnas in the serum during distraction osteogenesis","journal of orthopaedic surgery and research","10.1186/s13018-022-03163-9"
"351","journalArticle",2020,"Bai, Gaowa; Matsuba, Takashi; Niki, Toshiro; Hattori, Toshio","stimulation of thp-1 macrophages with lps increased the production of osteopontin-encapsulating exosome","international journal of molecular sciences","10.3390/ijms21228490"
"353","journalArticle",2023,"Wang, Jinjin; Wang, Yazheng; Li, Yi; He, Yide; Song, Wen; Wang, Qintao; Zhang, Yumei; He, Chenyang","unique regulation of tio<sub>2</sub> nanoporous topography on macrophage polarization via msc-derived exosomes","regenerative biomaterials","10.1093/rb/rbad012"
"354","journalArticle",2023,"Zhan, Weiqiang; Deng, Mingzhu; Huang, Xinqia; Xie, Dong; Gao, Xiang; Chen, Jiaxian; Shi, Zhen; Lu, Jiaxu; Lin, Hao; Li, Peng","pueraria lobata-derived exosome-like nanovesicles alleviate osteoporosis by enhacning autophagy","journal of controlled release","10.1016/j.jconrel.2023.11.020"
"355","journalArticle",2021,"Li, Ziyi; Wang, Yafei; Li, Shilun; Li, Yukun","exosomes derived from m2 macrophages facilitate osteogenesis and reduce adipogenesis of bmscs","frontiers in endocrinology","10.3389/fendo.2021.680328"
"356","journalArticle",2019,"Zhang, Yuntong; Hao, Zichen; Wang, Panfeng; Xia, Yan; Wu, Jianghong; Xia, Demeng; Fang, Shuo; Xu, Shuogui","exosomes from human umbilical cord mesenchymal stem cells enhance fracture healing through hif-1α-mediated promotion of angiogenesis in a rat model of stabilized fracture","cell proliferation","10.1111/cpr.12570"
"358","journalArticle",2023,"Wang, Menghong; Li, Jie; Ye, Yanyan; Chen, Duanjing; Song, Jinlin","shed-derived exosomes improve the repair capacity and osteogenesis potential of hpdlcs","oral diseases","10.1111/odi.14153"
